iter	Passed	Remaining
0	144	144101
1	145	72838
2	147	49037
3	149	37254
4	151	30108
5	152	25330
6	154	21915
7	156	19371
8	158	17407
9	159	15810
10	161	14499
11	162	13412
12	164	12517
13	166	11722
14	168	11034
15	169	10434
16	171	9903
17	172	9426
18	174	9016
19	176	8641
20	178	8312
21	179	7999
22	181	7709
23	183	7443
24	184	7195
25	186	6968
26	187	6758
27	188	6560
28	190	6377
29	192	6208
30	193	6060
31	195	5916
32	197	5776
33	198	5643
34	200	5528
35	202	5430
36	204	5322
37	206	5223
38	208	5141
39	210	5045
40	212	4962
41	214	4890
42	216	4815
43	218	4738
44	219	4667
45	222	4617
46	224	4555
47	226	4494
48	228	4441
49	230	4384
50	232	4325
51	234	4270
52	237	4237
53	239	4192
54	240	4140
55	242	4090
56	244	4045
57	246	4000
58	248	3957
59	250	3924
60	252	3888
61	254	3849
62	256	3810
63	257	3772
64	259	3736
65	261	3698
66	263	3663
67	265	3632
68	267	3602
69	268	3569
70	270	3537
71	271	3505
72	273	3474
73	275	3445
74	276	3414
75	278	3387
76	280	3361
77	282	3334
78	283	3306
79	285	3282
80	288	3274
81	290	3254
82	291	3224
83	293	3204
84	296	3187
85	298	3176
86	300	3155
87	302	3132
88	303	3111
89	305	3091
90	307	3072
91	309	3055
92	312	3044
93	313	3025
94	316	3013
95	318	2997
96	319	2976
97	321	2959
98	323	2942
99	325	2933
100	328	2923
101	330	2908
102	332	2892
103	334	2878
104	335	2862
105	337	2847
106	340	2840
107	342	2829
108	344	2816
109	346	2804
110	348	2791
111	350	2777
112	352	2763
113	355	2760
114	357	2753
115	359	2740
116	361	2724
117	362	2711
118	364	2698
119	366	2685
120	367	2672
121	370	2663
122	372	2655
123	374	2642
124	375	2630
125	377	2619
126	379	2605
127	380	2594
128	382	2583
129	384	2575
130	387	2567
131	388	2556
132	390	2545
133	392	2534
134	394	2524
135	396	2515
136	398	2507
137	400	2503
138	403	2497
139	404	2487
140	406	2478
141	408	2466
142	409	2456
143	411	2448
144	414	2442
145	416	2438
146	418	2428
147	420	2418
148	422	2410
149	423	2401
150	425	2391
151	427	2382
152	429	2380
153	432	2373
154	433	2364
155	435	2355
156	436	2346
157	438	2337
158	440	2329
159	442	2320
160	443	2310
161	446	2307
162	447	2298
163	449	2290
164	451	2283
165	453	2276
166	454	2267
167	456	2261
168	458	2256
169	461	2252
170	462	2244
171	464	2236
172	466	2229
173	468	2221
174	469	2214
175	471	2206
176	473	2200
177	476	2199
178	477	2192
179	479	2185
180	481	2179
181	483	2173
182	485	2166
183	487	2162
184	490	2159
185	492	2154
186	494	2149
187	496	2144
188	498	2140
189	501	2136
190	503	2132
191	505	2127
192	507	2123
193	509	2116
194	511	2110
195	513	2105
196	515	2100
197	517	2095
198	519	2092
199	521	2087
200	523	2080
201	525	2074
202	526	2068
203	528	2062
204	530	2057
205	532	2052
206	534	2048
207	536	2043
208	538	2038
209	540	2032
210	542	2028
211	544	2023
212	546	2017
213	548	2012
214	550	2008
215	551	2003
216	553	1998
217	555	1992
218	557	1987
219	559	1984
220	562	1981
221	564	1978
222	567	1976
223	569	1971
224	570	1966
225	572	1960
226	574	1955
227	576	1951
228	578	1948
229	581	1945
230	582	1940
231	584	1936
232	586	1932
233	588	1927
234	590	1922
235	592	1919
236	596	1920
237	598	1916
238	600	1912
239	602	1908
240	604	1904
241	606	1899
242	609	1899
243	612	1896
244	614	1892
245	616	1888
246	617	1883
247	619	1878
248	621	1873
249	623	1871
250	626	1868
251	628	1864
252	630	1860
253	631	1855
254	633	1851
255	635	1846
256	637	1843
257	640	1841
258	642	1836
259	644	1832
260	645	1828
261	647	1824
262	649	1820
263	651	1816
264	654	1815
265	656	1811
266	658	1808
267	660	1803
268	662	1799
269	664	1796
270	666	1793
271	669	1791
272	671	1788
273	673	1784
274	675	1780
275	677	1776
276	679	1772
277	681	1768
278	684	1768
279	686	1765
280	688	1760
281	689	1756
282	691	1752
283	693	1748
284	695	1744
285	697	1741
286	699	1738
287	701	1734
288	703	1731
289	705	1726
290	707	1722
291	708	1718
292	710	1714
293	713	1713
294	715	1709
295	717	1705
296	719	1701
297	721	1698
298	723	1695
299	724	1691
300	727	1688
301	729	1685
302	731	1681
303	733	1678
304	735	1675
305	736	1671
306	738	1667
307	740	1664
308	742	1661
309	744	1657
310	746	1653
311	748	1649
312	749	1646
313	751	1642
314	753	1639
315	755	1635
316	758	1633
317	760	1629
318	761	1626
319	763	1622
320	765	1618
321	767	1615
322	768	1611
323	770	1607
324	772	1605
325	774	1601
326	776	1598
327	778	1594
328	780	1591
329	782	1587
330	783	1584
331	785	1580
332	787	1578
333	789	1574
334	791	1571
335	793	1568
336	795	1564
337	797	1561
338	799	1558
339	800	1554
340	802	1551
341	804	1548
342	806	1544
343	808	1541
344	810	1538
345	812	1534
346	813	1531
347	815	1527
348	818	1526
349	820	1523
350	822	1519
351	823	1516
352	825	1513
353	827	1509
354	829	1506
355	830	1503
356	833	1500
357	834	1497
358	836	1494
359	838	1491
360	840	1487
361	842	1484
362	844	1481
363	846	1478
364	848	1475
365	850	1472
366	852	1469
367	853	1466
368	855	1463
369	857	1460
370	859	1457
371	861	1454
372	863	1451
373	865	1448
374	867	1445
375	869	1442
376	871	1439
377	872	1436
378	874	1433
379	876	1430
380	878	1428
381	880	1425
382	882	1422
383	884	1419
384	886	1416
385	888	1413
386	890	1410
387	892	1408
388	894	1404
389	896	1401
390	898	1398
391	899	1395
392	901	1392
393	903	1389
394	905	1386
395	907	1384
396	909	1381
397	911	1378
398	913	1375
399	915	1372
400	917	1369
401	919	1367
402	920	1364
403	923	1362
404	925	1359
405	926	1356
406	928	1353
407	930	1350
408	932	1347
409	934	1344
410	936	1341
411	938	1339
412	940	1336
413	942	1333
414	944	1330
415	945	1327
416	947	1325
417	949	1322
418	951	1319
419	953	1316
420	955	1313
421	957	1311
422	959	1308
423	960	1305
424	962	1302
425	964	1299
426	966	1297
427	968	1294
428	970	1292
429	972	1289
430	974	1286
431	976	1284
432	978	1281
433	980	1278
434	982	1276
435	984	1273
436	986	1271
437	988	1268
438	990	1265
439	992	1263
440	994	1260
441	996	1257
442	998	1255
443	1000	1252
444	1002	1249
445	1004	1247
446	1005	1244
447	1007	1241
448	1009	1239
449	1011	1236
450	1014	1234
451	1016	1232
452	1018	1229
453	1020	1226
454	1022	1224
455	1023	1221
456	1026	1219
457	1029	1218
458	1035	1220
459	1037	1217
460	1039	1215
461	1044	1215
462	1048	1215
463	1050	1213
464	1053	1212
465	1056	1210
466	1061	1211
467	1063	1208
468	1065	1206
469	1068	1204
470	1070	1202
471	1075	1203
472	1078	1202
473	1081	1199
474	1083	1197
475	1085	1195
476	1088	1193
477	1091	1192
478	1094	1190
479	1097	1188
480	1099	1186
481	1103	1186
482	1106	1184
483	1109	1182
484	1115	1184
485	1119	1184
486	1122	1182
487	1124	1180
488	1127	1178
489	1130	1176
490	1133	1175
491	1136	1173
492	1139	1171
493	1145	1173
494	1149	1173
495	1152	1171
496	1155	1169
497	1157	1166
498	1159	1164
499	1161	1161
500	1165	1160
501	1167	1158
502	1169	1155
503	1171	1152
504	1173	1150
505	1176	1148
506	1180	1148
507	1182	1145
508	1185	1143
509	1187	1140
510	1190	1138
511	1192	1136
512	1195	1135
513	1198	1133
514	1201	1131
515	1203	1128
516	1205	1126
